t_s,nu,eclipsed,p_gen_w,p_house_w,p_surplus_w
2140.0,0.598833,1,336.0201,45.00,291.0201
2150.0,1.000000,0,562.0383,45.00,517.0383
2160.0,1.000000,0,562.9494,45.00,517.9494
2170.0,1.000000,0,563.8580,45.00,518.8580
2180.0,1.000000,0,564.7634,45.00,519.7634
2190.0,1.000000,0,565.6653,45.00,520.6653
2200.0,1.000000,0,566.5633,45.00,521.5633
2210.0,1.000000,0,567.4570,45.00,522.4570
2220.0,1.000000,0,568.3459,45.00,523.3459
2230.0,1.000000,0,569.2297,45.00,524.2297
2240.0,1.000000,0,570.1080,45.00,525.1080
2250.0,1.000000,0,570.9803,45.00,525.9803
2260.0,1.000000,0,571.8463,45.00,526.8463
2270.0,1.000000,0,572.7056,45.00,527.7056
2280.0,1.000000,0,573.5579,45.00,528.5579
2290.0,1.000000,0,574.4026,45.00,529.4026
2300.0,1.000000,0,575.2396,45.00,530.2396
2310.0,1.000000,0,576.0683,45.00,531.0683
2320.0,1.000000,0,576.8885,45.00,531.8885
2330.0,1.000000,0,577.6998,45.00,532.6998
2340.0,1.000000,0,578.5019,45.00,533.5019
2350.0,1.000000,0,579.2943,45.00,534.2943
2360.0,1.000000,0,580.0768,45.00,535.0768
2370.0,1.000000,0,580.8490,45.00,535.8490
2380.0,1.000000,0,581.6106,45.00,536.6106
2390.0,1.000000,0,582.3613,45.00,537.3613
2400.0,1.000000,0,583.1007,45.00,538.1007
2410.0,1.000000,0,583.8286,45.00,538.8286
2420.0,1.000000,0,584.5447,45.00,539.5447
2430.0,1.000000,0,585.2486,45.00,540.2486
2440.0,1.000000,0,585.9400,45.00,540.9400
2450.0,1.000000,0,586.6187,45.00,541.6187
2460.0,1.000000,0,587.2844,45.00,542.2844
2470.0,1.000000,0,587.9368,45.00,542.9368
2480.0,1.000000,0,588.5757,45.00,543.5757
2490.0,1.000000,0,589.2008,45.00,544.2008
2500.0,1.000000,0,589.8118,45.00,544.8118
2510.0,1.000000,0,590.4084,45.00,545.4084
2520.0,1.000000,0,590.9905,45.00,545.9905
2530.0,1.000000,0,591.5579,45.00,546.5579
2540.0,1.000000,0,592.1102,45.00,547.1102
2550.0,1.000000,0,592.6472,45.00,547.6472
2560.0,1.000000,0,593.1688,45.00,548.1688
2570.0,1.000000,0,593.6748,45.00,548.6748
2580.0,1.000000,0,594.1648,45.00,549.1648
2590.0,1.000000,0,594.6388,45.00,549.6388
2600.0,1.000000,0,595.0966,45.00,550.0966
2610.0,1.000000,0,595.5379,45.00,550.5379
2620.0,1.000000,0,595.9626,45.00,550.9626
2630.0,1.000000,0,596.3706,45.00,551.3706
2640.0,1.000000,0,596.7616,45.00,551.7616
2650.0,1.000000,0,597.1355,45.00,552.1355
2660.0,1.000000,0,597.4922,45.00,552.4922
2670.0,1.000000,0,597.8315,45.00,552.8315
2680.0,1.000000,0,598.1533,45.00,553.1533
2690.0,1.000000,0,598.4575,45.00,553.4575
2700.0,1.000000,0,598.7440,45.00,553.7440
2710.0,1.000000,0,599.0125,45.00,554.0125
2720.0,1.000000,0,599.2631,45.00,554.2631
2730.0,1.000000,0,599.4957,45.00,554.4957
2740.0,1.000000,0,599.7101,45.00,554.7101
2750.0,1.000000,0,599.9062,45.00,554.9062
2760.0,1.000000,0,600.0841,45.00,555.0841
2770.0,1.000000,0,600.2435,45.00,555.2435
2780.0,1.000000,0,600.3846,45.00,555.3846
2790.0,1.000000,0,600.5071,45.00,555.5071
2800.0,1.000000,0,600.6111,45.00,555.6111
2810.0,1.000000,0,600.6965,45.00,555.6965
2820.0,1.000000,0,600.7632,45.00,555.7632
2830.0,1.000000,0,600.8114,45.00,555.8114
2840.0,1.000000,0,600.8409,45.00,555.8409
2850.0,1.000000,0,600.8517,45.00,555.8517
2860.0,1.000000,0,600.8438,45.00,555.8438
2870.0,1.000000,0,600.8173,45.00,555.8173
2880.0,1.000000,0,600.7721,45.00,555.7721
2890.0,1.000000,0,600.7082,45.00,555.7082
2900.0,1.000000,0,600.6257,45.00,555.6257
2910.0,1.000000,0,600.5247,45.00,555.5247
2920.0,1.000000,0,600.4051,45.00,555.4051
2930.0,1.000000,0,600.2670,45.00,555.2670
2940.0,1.000000,0,600.1104,45.00,555.1104
2950.0,1.000000,0,599.9354,45.00,554.9354
2960.0,1.000000,0,599.7422,45.00,554.7422
2970.0,1.000000,0,599.5306,45.00,554.5306
2980.0,1.000000,0,599.3010,45.00,554.3010
2990.0,1.000000,0,599.0532,45.00,554.0532
3000.0,1.000000,0,598.7874,45.00,553.7874
3010.0,1.000000,0,598.5038,45.00,553.5038
3020.0,1.000000,0,598.2024,45.00,553.2024
3030.0,1.000000,0,597.8834,45.00,552.8834
3040.0,1.000000,0,597.5468,45.00,552.5468
3050.0,1.000000,0,597.1929,45.00,552.1929
3060.0,1.000000,0,596.8217,45.00,551.8217
3070.0,1.000000,0,596.4333,45.00,551.4333
3080.0,1.000000,0,596.0281,45.00,551.0281
3090.0,1.000000,0,595.6060,45.00,550.6060
3100.0,1.000000,0,595.1673,45.00,550.1673
3110.0,1.000000,0,594.7121,45.00,549.7121
3120.0,1.000000,0,594.2407,45.00,549.2407
3130.0,1.000000,0,593.7531,45.00,548.7531
3140.0,1.000000,0,593.2497,45.00,548.2497
3150.0,1.000000,0,592.7306,45.00,547.7306
3160.0,1.000000,0,592.1960,45.00,547.1960
3170.0,1.000000,0,591.6461,45.00,546.6461
3180.0,1.000000,0,591.0811,45.00,546.0811
3190.0,1.000000,0,590.5014,45.00,545.5014
3200.0,1.000000,0,589.9070,45.00,544.9070
3210.0,1.000000,0,589.2983,45.00,544.2983
3220.0,1.000000,0,588.6755,45.00,543.6755
3230.0,1.000000,0,588.0388,45.00,543.0388
3240.0,1.000000,0,587.3885,45.00,542.3885
3250.0,1.000000,0,586.7249,45.00,541.7249
3260.0,1.000000,0,586.0483,45.00,541.0483
3270.0,1.000000,0,585.3589,45.00,540.3589
3280.0,1.000000,0,584.6570,45.00,539.6570
3290.0,1.000000,0,583.9429,45.00,538.9429
3300.0,1.000000,0,583.2169,45.00,538.2169
3310.0,1.000000,0,582.4793,45.00,537.4793
3320.0,1.000000,0,581.7304,45.00,536.7304
3330.0,1.000000,0,580.9705,45.00,535.9705
3340.0,1.000000,0,580.2000,45.00,535.2000
3350.0,1.000000,0,579.4192,45.00,534.4192
3360.0,1.000000,0,578.6284,45.00,533.6284
3370.0,1.000000,0,577.8279,45.00,532.8279
3380.0,1.000000,0,577.0181,45.00,532.0181
3390.0,1.000000,0,576.1994,45.00,531.1994
3400.0,1.000000,0,575.3720,45.00,530.3720
3410.0,1.000000,0,574.5364,45.00,529.5364
3420.0,1.000000,0,573.6929,45.00,528.6929
3430.0,1.000000,0,572.8419,45.00,527.8419
3440.0,1.000000,0,571.9838,45.00,526.9838
3450.0,1.000000,0,571.1189,45.00,526.1189
3460.0,1.000000,0,570.2476,45.00,525.2476
3470.0,1.000000,0,569.3704,45.00,524.3704
3480.0,1.000000,0,568.4875,45.00,523.4875
3490.0,1.000000,0,567.5995,45.00,522.5995
3500.0,1.000000,0,566.7066,45.00,521.7066
3510.0,1.000000,0,565.8094,45.00,520.8094
3520.0,1.000000,0,564.9081,45.00,519.9081
3530.0,1.000000,0,564.0033,45.00,519.0033
3540.0,1.000000,0,563.0954,45.00,518.0954
3550.0,1.000000,0,562.1847,45.00,517.1847
3560.0,1.000000,0,561.2717,45.00,516.2717
3570.0,1.000000,0,560.3569,45.00,515.3569
3580.0,1.000000,0,559.4405,45.00,514.4405
3590.0,1.000000,0,558.5232,45.00,513.5232
3600.0,1.000000,0,557.6052,45.00,512.6052
3610.0,1.000000,0,556.6872,45.00,511.6872
3620.0,1.000000,0,555.7694,45.00,510.7694
3630.0,1.000000,0,554.8523,45.00,509.8523
3640.0,1.000000,0,553.9364,45.00,508.9364
3650.0,1.000000,0,553.0221,45.00,508.0221
3660.0,1.000000,0,552.1099,45.00,507.1099
3670.0,1.000000,0,551.2003,45.00,506.2003
3680.0,1.000000,0,550.2935,45.00,505.2935
3690.0,1.000000,0,549.3902,45.00,504.3902
3700.0,1.000000,0,548.4908,45.00,503.4908
3710.0,1.000000,0,547.5956,45.00,502.5956
3720.0,1.000000,0,546.7052,45.00,501.7052
3730.0,1.000000,0,545.8201,45.00,500.8201
3740.0,1.000000,0,544.9406,45.00,499.9406
3750.0,1.000000,0,544.0672,45.00,499.0672
3760.0,1.000000,0,543.2004,45.00,498.2004
3770.0,1.000000,0,542.3405,45.00,497.3405
3780.0,1.000000,0,541.4882,45.00,496.4882
3790.0,1.000000,0,540.6437,45.00,495.6437
3800.0,1.000000,0,539.8075,45.00,494.8075
3810.0,1.000000,0,538.9802,45.00,493.9802
3820.0,1.000000,0,538.1620,45.00,493.1620
3830.0,1.000000,0,537.3535,45.00,492.3535
3840.0,1.000000,0,536.5551,45.00,491.5551
3850.0,1.000000,0,535.7672,45.00,490.7672
3860.0,1.000000,0,534.9902,45.00,489.9902
3870.0,1.000000,0,534.2246,45.00,489.2246
3880.0,1.000000,0,533.4707,45.00,488.4707
3890.0,1.000000,0,532.7290,45.00,487.7290
3900.0,1.000000,0,531.9999,45.00,486.9999
3910.0,1.000000,0,531.2838,45.00,486.2838
3920.0,1.000000,0,530.5811,45.00,485.5811
3930.0,1.000000,0,529.8921,45.00,484.8921
3940.0,1.000000,0,529.2173,45.00,484.2173
3950.0,1.000000,0,528.5571,45.00,483.5571
3960.0,1.000000,0,527.9117,45.00,482.9117
3970.0,1.000000,0,527.2816,45.00,482.2816
3980.0,1.000000,0,526.6672,45.00,481.6672
3990.0,1.000000,0,526.0687,45.00,481.0687
4000.0,1.000000,0,525.4865,45.00,480.4865
4010.0,1.000000,0,524.9209,45.00,479.9209
4020.0,1.000000,0,524.3724,45.00,479.3724
4030.0,1.000000,0,523.8411,45.00,478.8411
4040.0,1.000000,0,523.3275,45.00,478.3275
4050.0,1.000000,0,522.8317,45.00,477.8317
4060.0,1.000000,0,522.3541,45.00,477.3541
4070.0,1.000000,0,521.8950,45.00,476.8950
4080.0,1.000000,0,521.4546,45.00,476.4546
4090.0,1.000000,0,521.0331,45.00,476.0331
4100.0,1.000000,0,520.6310,45.00,475.6310
4110.0,1.000000,0,520.2483,45.00,475.2483
4120.0,1.000000,0,519.8853,45.00,474.8853
4130.0,1.000000,0,519.5422,45.00,474.5422
4140.0,1.000000,0,519.2192,45.00,474.2192
4150.0,1.000000,0,518.9165,45.00,473.9165
4160.0,1.000000,0,518.6344,45.00,473.6344
4170.0,1.000000,0,518.3729,45.00,473.3729
4180.0,1.000000,0,518.1322,45.00,473.1322
4190.0,1.000000,0,517.9124,45.00,472.9124
4200.0,1.000000,0,517.7138,45.00,472.7138
4210.0,1.000000,0,517.5364,45.00,472.5364
4220.0,1.000000,0,517.3802,45.00,472.3802
4230.0,1.000000,0,517.2455,45.00,472.2455
4240.0,1.000000,0,517.1323,45.00,472.1323
4250.0,1.000000,0,517.0407,45.00,472.0407
4260.0,1.000000,0,516.9707,45.00,471.9707
4270.0,1.000000,0,516.9223,45.00,471.9223
4280.0,1.000000,0,516.8956,45.00,471.8956
4290.0,1.000000,0,516.8906,45.00,471.8906
4300.0,1.000000,0,516.9074,45.00,471.9074
4310.0,1.000000,0,516.9458,45.00,471.9458
4320.0,1.000000,0,517.0059,45.00,472.0059
4330.0,1.000000,0,517.0876,45.00,472.0876
4340.0,1.000000,0,517.1910,45.00,472.1910
4350.0,1.000000,0,517.3158,45.00,472.3158
4360.0,1.000000,0,517.4621,45.00,472.4621
4370.0,1.000000,0,517.6298,45.00,472.6298
4380.0,1.000000,0,517.8187,45.00,472.8187
4390.0,1.000000,0,518.0288,45.00,473.0288
4400.0,1.000000,0,518.2599,45.00,473.2599
4410.0,1.000000,0,518.5119,45.00,473.5119
4420.0,1.000000,0,518.7846,45.00,473.7846
4430.0,1.000000,0,519.0779,45.00,474.0779
4440.0,1.000000,0,519.3916,45.00,474.3916
4450.0,1.000000,0,519.7254,45.00,474.7254
4460.0,1.000000,0,520.0793,45.00,475.0793
4470.0,1.000000,0,520.4530,45.00,475.4530
4480.0,1.000000,0,520.8463,45.00,475.8463
4490.0,1.000000,0,521.2589,45.00,476.2589
4500.0,1.000000,0,521.6906,45.00,476.6906
4510.0,1.000000,0,522.1412,45.00,477.1412
4520.0,1.000000,0,522.6104,45.00,477.6104
4530.0,1.000000,0,523.0978,45.00,478.0978
4540.0,1.000000,0,523.6033,45.00,478.6033
4550.0,1.000000,0,524.1266,45.00,479.1266
4560.0,1.000000,0,524.6672,45.00,479.6672
4570.0,1.000000,0,525.2250,45.00,480.2250
4580.0,1.000000,0,525.7996,45.00,480.7996
4590.0,1.000000,0,526.3906,45.00,481.3906
4600.0,1.000000,0,526.9978,45.00,481.9978
4610.0,1.000000,0,527.6208,45.00,482.6208
4620.0,1.000000,0,528.2592,45.00,483.2592
4630.0,1.000000,0,528.9127,45.00,483.9127
4640.0,1.000000,0,529.5808,45.00,484.5808
4650.0,1.000000,0,530.2633,45.00,485.2633
4660.0,1.000000,0,530.9598,45.00,485.9598
