t_s,nu,eclipsed,p_gen_w,p_house_w,p_surplus_w
1100.0,1.000000,0,571.5153,45.00,526.5153
1110.0,1.000000,0,571.5152,45.00,526.5152
1120.0,1.000000,0,571.5152,45.00,526.5152
1130.0,1.000000,0,571.5151,45.00,526.5151
1140.0,1.000000,0,571.5151,45.00,526.5151
1150.0,1.000000,0,571.5150,45.00,526.5150
1160.0,1.000000,0,571.5150,45.00,526.5150
1170.0,1.000000,0,571.5149,45.00,526.5149
1180.0,1.000000,0,571.5149,45.00,526.5149
1190.0,1.000000,0,571.5149,45.00,526.5149
1200.0,1.000000,0,571.5148,45.00,526.5148
1210.0,1.000000,0,571.5148,45.00,526.5148
1220.0,1.000000,0,571.5147,45.00,526.5147
1230.0,1.000000,0,571.5147,45.00,526.5147
1240.0,1.000000,0,571.5146,45.00,526.5146
1250.0,1.000000,0,571.5146,45.00,526.5146
1260.0,1.000000,0,571.5145,45.00,526.5145
1270.0,1.000000,0,571.5145,45.00,526.5145
1280.0,1.000000,0,571.5144,45.00,526.5144
1290.0,1.000000,0,571.5144,45.00,526.5144
1300.0,1.000000,0,571.5144,45.00,526.5144
1310.0,1.000000,0,571.5143,45.00,526.5143
1320.0,1.000000,0,571.5143,45.00,526.5143
1330.0,1.000000,0,571.5142,45.00,526.5142
1340.0,1.000000,0,571.5142,45.00,526.5142
1350.0,0.977219,1,558.4942,45.00,513.4942
1360.0,0.000000,1,0.0000,45.00,-45.0000
1370.0,0.000000,1,0.0000,45.00,-45.0000
1380.0,0.000000,1,0.0000,45.00,-45.0000
1390.0,0.000000,1,0.0000,45.00,-45.0000
1400.0,0.000000,1,0.0000,45.00,-45.0000
1410.0,0.000000,1,0.0000,45.00,-45.0000
1420.0,0.000000,1,0.0000,45.00,-45.0000
1430.0,0.000000,1,0.0000,45.00,-45.0000
1440.0,0.000000,1,0.0000,45.00,-45.0000
1450.0,0.000000,1,0.0000,45.00,-45.0000
1460.0,0.000000,1,0.0000,45.00,-45.0000
1470.0,0.000000,1,0.0000,45.00,-45.0000
1480.0,0.000000,1,0.0000,45.00,-45.0000
1490.0,0.000000,1,0.0000,45.00,-45.0000
1500.0,0.000000,1,0.0000,45.00,-45.0000
1510.0,0.000000,1,0.0000,45.00,-45.0000
1520.0,0.000000,1,0.0000,45.00,-45.0000
1530.0,0.000000,1,0.0000,45.00,-45.0000
1540.0,0.000000,1,0.0000,45.00,-45.0000
1550.0,0.000000,1,0.0000,45.00,-45.0000
1560.0,0.000000,1,0.0000,45.00,-45.0000
1570.0,0.000000,1,0.0000,45.00,-45.0000
1580.0,0.000000,1,0.0000,45.00,-45.0000
1590.0,0.000000,1,0.0000,45.00,-45.0000
1600.0,0.000000,1,0.0000,45.00,-45.0000
1610.0,0.000000,1,0.0000,45.00,-45.0000
1620.0,0.000000,1,0.0000,45.00,-45.0000
1630.0,0.000000,1,0.0000,45.00,-45.0000
1640.0,0.000000,1,0.0000,45.00,-45.0000
1650.0,0.000000,1,0.0000,45.00,-45.0000
1660.0,0.000000,1,0.0000,45.00,-45.0000
1670.0,0.000000,1,0.0000,45.00,-45.0000
1680.0,0.000000,1,0.0000,45.00,-45.0000
1690.0,0.000000,1,0.0000,45.00,-45.0000
1700.0,0.000000,1,0.0000,45.00,-45.0000
1710.0,0.000000,1,0.0000,45.00,-45.0000
1720.0,0.000000,1,0.0000,45.00,-45.0000
1730.0,0.000000,1,0.0000,45.00,-45.0000
1740.0,0.000000,1,0.0000,45.00,-45.0000
1750.0,0.000000,1,0.0000,45.00,-45.0000
1760.0,0.000000,1,0.0000,45.00,-45.0000
1770.0,0.000000,1,0.0000,45.00,-45.0000
1780.0,0.000000,1,0.0000,45.00,-45.0000
1790.0,0.000000,1,0.0000,45.00,-45.0000
1800.0,0.000000,1,0.0000,45.00,-45.0000
1810.0,0.000000,1,0.0000,45.00,-45.0000
1820.0,0.000000,1,0.0000,45.00,-45.0000
1830.0,0.000000,1,0.0000,45.00,-45.0000
1840.0,0.000000,1,0.0000,45.00,-45.0000
1850.0,0.000000,1,0.0000,45.00,-45.0000
1860.0,0.000000,1,0.0000,45.00,-45.0000
1870.0,0.000000,1,0.0000,45.00,-45.0000
1880.0,0.000000,1,0.0000,45.00,-45.0000
1890.0,0.000000,1,0.0000,45.00,-45.0000
1900.0,0.000000,1,0.0000,45.00,-45.0000
1910.0,0.000000,1,0.0000,45.00,-45.0000
1920.0,0.000000,1,0.0000,45.00,-45.0000
1930.0,0.000000,1,0.0000,45.00,-45.0000
1940.0,0.000000,1,0.0000,45.00,-45.0000
1950.0,0.000000,1,0.0000,45.00,-45.0000
1960.0,0.000000,1,0.0000,45.00,-45.0000
1970.0,0.000000,1,0.0000,45.00,-45.0000
1980.0,0.000000,1,0.0000,45.00,-45.0000
1990.0,0.000000,1,0.0000,45.00,-45.0000
2000.0,0.000000,1,0.0000,45.00,-45.0000
2010.0,0.000000,1,0.0000,45.00,-45.0000
2020.0,0.000000,1,0.0000,45.00,-45.0000
2030.0,0.000000,1,0.0000,45.00,-45.0000
2040.0,0.000000,1,0.0000,45.00,-45.0000
2050.0,0.000000,1,0.0000,45.00,-45.0000
2060.0,0.000000,1,0.0000,45.00,-45.0000
2070.0,0.000000,1,0.0000,45.00,-45.0000
2080.0,0.000000,1,0.0000,45.00,-45.0000
2090.0,0.000000,1,0.0000,45.00,-45.0000
2100.0,0.000000,1,0.0000,45.00,-45.0000
2110.0,0.000000,1,0.0000,45.00,-45.0000
2120.0,0.000000,1,0.0000,45.00,-45.0000
2130.0,0.000000,1,0.0000,45.00,-45.0000
2140.0,0.000000,1,0.0000,45.00,-45.0000
2150.0,0.000000,1,0.0000,45.00,-45.0000
2160.0,0.000000,1,0.0000,45.00,-45.0000
2170.0,0.000000,1,0.0000,45.00,-45.0000
2180.0,0.000000,1,0.0000,45.00,-45.0000
2190.0,0.000000,1,0.0000,45.00,-45.0000
2200.0,0.000000,1,0.0000,45.00,-45.0000
2210.0,0.000000,1,0.0000,45.00,-45.0000
2220.0,0.000000,1,0.0000,45.00,-45.0000
2230.0,0.000000,1,0.0000,45.00,-45.0000
2240.0,0.000000,1,0.0000,45.00,-45.0000
2250.0,0.000000,1,0.0000,45.00,-45.0000
2260.0,0.000000,1,0.0000,45.00,-45.0000
2270.0,0.000000,1,0.0000,45.00,-45.0000
2280.0,0.000000,1,0.0000,45.00,-45.0000
2290.0,0.000000,1,0.0000,45.00,-45.0000
2300.0,0.000000,1,0.0000,45.00,-45.0000
2310.0,0.000000,1,0.0000,45.00,-45.0000
2320.0,0.000000,1,0.0000,45.00,-45.0000
2330.0,0.000000,1,0.0000,45.00,-45.0000
2340.0,0.000000,1,0.0000,45.00,-45.0000
2350.0,0.000000,1,0.0000,45.00,-45.0000
2360.0,0.000000,1,0.0000,45.00,-45.0000
2370.0,0.000000,1,0.0000,45.00,-45.0000
2380.0,0.000000,1,0.0000,45.00,-45.0000
2390.0,0.000000,1,0.0000,45.00,-45.0000
2400.0,0.000000,1,0.0000,45.00,-45.0000
2410.0,0.000000,1,0.0000,45.00,-45.0000
2420.0,0.000000,1,0.0000,45.00,-45.0000
2430.0,0.000000,1,0.0000,45.00,-45.0000
2440.0,0.000000,1,0.0000,45.00,-45.0000
2450.0,0.000000,1,0.0000,45.00,-45.0000
2460.0,0.000000,1,0.0000,45.00,-45.0000
2470.0,0.000000,1,0.0000,45.00,-45.0000
2480.0,0.000000,1,0.0000,45.00,-45.0000
2490.0,0.000000,1,0.0000,45.00,-45.0000
2500.0,0.000000,1,0.0000,45.00,-45.0000
2510.0,0.000000,1,0.0000,45.00,-45.0000
2520.0,0.000000,1,0.0000,45.00,-45.0000
2530.0,0.000000,1,0.0000,45.00,-45.0000
2540.0,0.000000,1,0.0000,45.00,-45.0000
2550.0,0.000000,1,0.0000,45.00,-45.0000
2560.0,0.000000,1,0.0000,45.00,-45.0000
2570.0,0.000000,1,0.0000,45.00,-45.0000
2580.0,0.000000,1,0.0000,45.00,-45.0000
2590.0,0.000000,1,0.0000,45.00,-45.0000
2600.0,0.000000,1,0.0000,45.00,-45.0000
2610.0,0.000000,1,0.0000,45.00,-45.0000
2620.0,0.000000,1,0.0000,45.00,-45.0000
2630.0,0.000000,1,0.0000,45.00,-45.0000
2640.0,0.000000,1,0.0000,45.00,-45.0000
2650.0,0.000000,1,0.0000,45.00,-45.0000
2660.0,0.000000,1,0.0000,45.00,-45.0000
2670.0,0.000000,1,0.0000,45.00,-45.0000
2680.0,0.000000,1,0.0000,45.00,-45.0000
2690.0,0.000000,1,0.0000,45.00,-45.0000
2700.0,0.000000,1,0.0000,45.00,-45.0000
2710.0,0.000000,1,0.0000,45.00,-45.0000
2720.0,0.000000,1,0.0000,45.00,-45.0000
2730.0,0.000000,1,0.0000,45.00,-45.0000
2740.0,0.000000,1,0.0000,45.00,-45.0000
2750.0,0.000000,1,0.0000,45.00,-45.0000
2760.0,0.000000,1,0.0000,45.00,-45.0000
2770.0,0.000000,1,0.0000,45.00,-45.0000
2780.0,0.000000,1,0.0000,45.00,-45.0000
2790.0,0.000000,1,0.0000,45.00,-45.0000
2800.0,0.000000,1,0.0000,45.00,-45.0000
2810.0,0.000000,1,0.0000,45.00,-45.0000
2820.0,0.000000,1,0.0000,45.00,-45.0000
2830.0,0.000000,1,0.0000,45.00,-45.0000
2840.0,0.000000,1,0.0000,45.00,-45.0000
2850.0,0.000000,1,0.0000,45.00,-45.0000
2860.0,0.000000,1,0.0000,45.00,-45.0000
2870.0,0.000000,1,0.0000,45.00,-45.0000
2880.0,0.000000,1,0.0000,45.00,-45.0000
2890.0,0.000000,1,0.0000,45.00,-45.0000
2900.0,0.000000,1,0.0000,45.00,-45.0000
2910.0,0.000000,1,0.0000,45.00,-45.0000
2920.0,0.000000,1,0.0000,45.00,-45.0000
2930.0,0.000000,1,0.0000,45.00,-45.0000
2940.0,0.000000,1,0.0000,45.00,-45.0000
2950.0,0.000000,1,0.0000,45.00,-45.0000
